City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,tigzirt,36.8886,4.1198,17.78,56,12,3.1,DZ,1681249597
84,qixingtai,30.4135,111.8874,16.19,45,71,2.69,CN,1681249597
85,floriano,-6.7669,-43.0225,28.32,60,53,1.83,BR,1681249597
86,kangaatsiaq,68.3065,-53.4641,-5.63,89,64,2.68,GL,1681249387
87,usinsk,65.9939,57.5281,-8.3,95,96,3.5,RU,1681249598
88,hasaki,35.7333,140.8333,16.27,82,100,13.39,JP,1681249432
89,antalaha,-14.9003,50.2788,23.39,81,95,2.72,MG,1681249598
90,cherskiy,68.75,161.3,-20.77,92,95,1.68,RU,1681249598
91,east london,-33.0153,27.9116,15.27,66,98,2.76,ZA,1681249598
92,trairi,-3.2778,-39.2689,24.11,86,100,1.9,BR,1681249386
93,bazarnyye mataki,54.8833,49.9333,6.06,61,4,3.35,RU,1681249599
94,ostrovnoy,68.0531,39.5131,-1.95,94,100,4.77,RU,1681249320
95,benguela,-12.5763,13.4055,26.06,81,100,4.61,AO,1681249599
96,kouango,4.9934,19.9619,23.95,81,100,2.07,CF,1681249599
97,abalak,58.1286,68.5944,-1.73,80,52,2.87,RU,1681249599
98,seryshevo,51.0933,128.3786,-3.1,89,72,2.17,RU,1681249600
99,paris,48.8534,2.3488,9.28,94,75,5.66,FR,1681249083
100,faanui,-16.4833,-151.75,27.71,72,99,2.84,PF,1681249600
101,batagay,67.6333,134.6333,-19.85,96,97,0.17,RU,1681249600
102,kropotkin,45.4375,40.5756,12.92,70,100,5.1,RU,1681249600
103,hobbs,32.7026,-103.136,27.79,15,20,2.57,US,1681249601
104,namwala,-15.7504,26.4384,17.73,95,84,1.73,ZM,1681249601
105,paita,-5.0892,-81.1144,28.11,72,73,4.99,PE,1681249311
106,khatanga,71.9667,102.5,-15.11,82,100,6.56,RU,1681249601
107,hobyo,5.3505,48.5268,28.2,74,17,5.98,SO,1681249601
108,airai,-8.9266,125.4092,15.72,91,63,1.2,TL,1681249354
109,saint anthony,45.0205,-93.218,26.54,30,0,6.17,US,1681249602
110,cairns,-16.9167,145.7667,25.24,97,98,0.0,AU,1681249602
111,mataura,-46.1927,168.8643,11.38,98,100,1.59,NZ,1681249602
112,tazovskiy,67.4667,78.7,-30.92,100,65,4.05,RU,1681249603
113,khani,41.9563,42.9566,5.76,96,100,0.94,GE,1681249371
114,mar del plata,-38.0023,-57.5575,18.27,98,100,1.54,AR,1681249603
115,yeppoon,-23.1333,150.7333,17.88,51,5,0.78,AU,1681249565
116,oranjemund,-28.55,16.4333,14.41,74,65,2.9,NA,1681249603
117,tura,25.5198,90.2201,22.37,20,0,1.68,IN,1681249435
118,kavieng,-2.5744,150.7967,28.51,69,100,5.12,PG,1681249604
119,clyde river,70.4692,-68.5914,-16.87,85,100,10.29,CA,1681249385
120,iranshahr,27.2025,60.6848,25.19,29,0,2.06,IR,1681249604
121,yenagoa,4.9247,6.2642,25.06,87,100,1.76,NG,1681249604
122,kahului,20.8947,-156.47,26.48,69,40,9.26,US,1681249308
123,touros,-5.1989,-35.4608,28.13,71,100,8.19,BR,1681249605
124,chulym,55.0997,80.9572,-7.5,95,46,3.05,RU,1681249605
125,barrow,71.2906,-156.7887,-23.99,77,0,4.12,US,1681249605
126,atuona,-9.8,-139.0333,27.26,79,94,7.16,PF,1681249452
127,lodwar,3.1191,35.5973,29.8,46,100,6.64,KE,1681249606
128,kanniyakumari,8.0833,77.5667,27.33,74,48,3.1,IN,1681249606
129,severo-kurilsk,50.6789,156.125,-0.99,69,96,7.08,RU,1681249606
130,nishihara,26.1842,127.7558,21.84,94,75,2.57,JP,1681249606
131,portland,45.5234,-122.6762,9.97,73,75,4.92,US,1681249440
132,dabou,5.3256,-4.3769,26.45,87,51,2.6,CI,1681249607
133,merrill,45.1805,-89.6835,23.3,35,0,5.14,US,1681249545
134,dannenberg,53.0967,11.09,5.64,92,5,2.15,DE,1681249318
135,luganville,-15.5333,167.1667,28.69,75,44,1.09,VU,1681249607
136,lima,-12.0432,-77.0282,26.14,65,0,5.66,PE,1681248827
137,tinqueux,49.25,3.9833,9.01,87,100,4.12,FR,1681249608
138,pangnirtung,66.1451,-65.7125,-10.0,67,20,1.03,CA,1681249375
139,uglovskoye,51.3557,80.1942,-1.21,56,18,2.48,RU,1681249608
140,gunnedah,-30.9833,150.25,13.85,52,43,1.85,AU,1681249608
141,magole,-6.3667,37.3667,22.01,91,37,0.46,TZ,1681249609
142,abapo,-18.8333,-63.4667,23.13,66,6,3.28,BO,1681249609
143,sur,22.5667,59.5289,28.49,51,100,4.65,OM,1681249609
144,hithadhoo,-0.6,73.0833,27.94,69,5,0.84,MV,1681249414
145,arbagar,51.9438,116.2805,-13.78,90,5,1.68,RU,1681249609
146,port macquarie,-31.4333,152.9167,14.38,58,82,2.28,AU,1681249610
147,sao filipe,14.8961,-24.4956,22.44,67,86,3.95,CV,1681249349
148,port moresby,-9.4431,147.1797,24.68,100,75,1.54,PG,1681249333
149,tiksi,71.6872,128.8694,-26.14,100,96,0.51,RU,1681249610
150,bluffton,32.2371,-80.8604,19.8,54,0,2.06,US,1681249164
151,adrar,20.5022,-10.0711,24.19,55,100,3.84,MR,1681249611
152,kavaratti,10.5669,72.642,28.36,77,3,3.79,IN,1681249611
153,williams lake,52.1415,-122.1445,8.76,26,75,4.12,CA,1681249524
154,qingdao,36.0986,120.3719,6.78,45,0,1.0,CN,1681249611
155,palmer,42.1584,-72.3287,21.24,12,75,7.2,US,1681249538
156,tharad,24.3961,71.6267,25.93,51,20,3.91,IN,1681249612
157,bambous virieux,-20.3428,57.7575,25.14,94,75,1.54,MU,1681249463
158,codrington,-38.2667,141.9667,15.86,88,100,7.04,AU,1681249401
159,shingu,33.7333,135.9833,16.08,81,100,2.02,JP,1681249612
160,vanavara,60.34,102.2797,-7.36,87,64,5.66,RU,1681249612
161,flinders,-34.5833,150.8552,15.1,86,98,1.67,AU,1681249530
162,severodvinsk,64.5635,39.8302,-0.94,98,100,3.68,RU,1681249613
163,samarai,-10.6167,150.6667,27.78,76,94,0.79,PG,1681249613
164,chilliwack,49.1747,-121.9443,8.85,53,100,4.63,CA,1681249613
165,aroysund,59.1806,10.455,5.62,100,100,3.6,NO,1681249613
166,kaitangata,-46.2817,169.8464,12.48,96,100,4.27,NZ,1681249614
167,morro bay,35.3658,-120.8499,21.31,54,97,4.02,US,1681249614
168,nimaparha,20.0667,86.0167,27.22,80,0,2.95,IN,1681249614
169,lompoc,34.6391,-120.4579,18.48,76,75,5.66,US,1681249584
170,charters towers,-20.1,146.2667,23.86,79,100,0.36,AU,1681249615
171,namtsy,62.7161,129.6658,-12.84,95,100,1.71,RU,1681249615
172,buraydah,26.326,43.975,20.25,63,100,7.7,SA,1681249615
173,filadelfia,39.9523,-75.1638,21.82,28,75,8.23,US,1681249375
174,yaan,7.3833,8.5667,26.78,69,100,4.06,NG,1681249615
175,lyambir,54.2817,45.1249,8.1,44,6,0.53,RU,1681249616
176,uusikaupunki,60.8004,21.4084,4.39,75,100,3.19,FI,1681249616
177,tasiilaq,65.6145,-37.6368,3.09,96,100,0.82,GL,1681249616
178,narsaq,60.9167,-46.05,2.12,95,93,2.52,GL,1681249616
179,beringovskiy,63.05,179.3167,-16.95,84,100,6.31,RU,1681249617
180,high rock,26.6208,-78.2833,24.01,68,100,12.44,BS,1681249617
181,buchanan,5.8808,-10.0467,26.82,85,71,1.84,LR,1681249617
182,uarini,-2.99,-65.1083,25.6,93,99,1.24,BR,1681249617
183,kitgum,3.2783,32.8867,22.95,59,89,2.45,UG,1681249617
184,klaksvik,62.2266,-6.589,6.51,80,100,0.66,FO,1681249618
185,tongliao,43.6125,122.2653,1.88,17,0,8.01,CN,1681249618
186,boende,-0.2167,20.8667,20.82,98,100,2.4,CD,1681249618
187,ipixuna,-1.7625,-48.8043,24.84,88,53,0.8,BR,1681249618
188,kodiak,57.79,-152.4072,2.73,93,100,0.0,US,1681249619
189,mishan,45.55,131.8833,1.89,34,41,7.99,CN,1681249619
190,ermioni,37.3869,23.2442,11.63,68,11,2.1,GR,1681249619
191,khasan,42.4308,130.6434,4.99,37,0,6.73,RU,1681249619
192,coihaique,-45.5752,-72.0662,14.97,44,0,1.03,CL,1681249432
193,mahebourg,-20.4081,57.7,25.16,94,75,1.54,MU,1681249620
194,vitim,59.4511,112.5578,-14.56,95,99,1.53,RU,1681249620
195,auki,-8.7676,160.7034,27.1,82,99,0.52,SB,1681249620
196,dingle,10.9995,122.6711,23.99,78,100,0.9,PH,1681249620
197,salto,-31.3833,-57.9667,27.15,73,75,2.68,UY,1681249426
198,la paz,-16.5,-68.15,16.99,26,40,3.6,BO,1681249621
199,neiafu,-18.65,-173.9833,28.38,69,20,6.69,TO,1681249344
200,singaraja,-8.112,115.0882,26.24,83,56,1.48,ID,1681249621
201,fairbanks,64.8378,-147.7164,-10.81,64,100,0.45,US,1681249622
202,bethel,41.3712,-73.414,21.05,17,0,4.12,US,1681249329
203,kieta,-6.2167,155.6333,27.0,81,99,1.32,PG,1681249383
204,sept-iles,50.2001,-66.3821,5.05,74,75,2.57,CA,1681249391
205,ponta delgada,37.7333,-25.6667,16.4,88,20,3.09,PT,1681249622
206,gwadar,25.1216,62.3254,25.02,76,45,2.52,PK,1681249623
207,bairiki,1.3292,172.9752,29.0,79,20,5.14,KI,1681249623
208,maldonado,-34.6667,-54.9167,22.6,70,97,1.72,UY,1681249106
209,grenville,12.1167,-61.6167,28.03,73,35,6.8,GD,1681249623
210,ginda,30.6945,78.4932,12.6,34,98,3.52,IN,1681249624
211,herat,34.5,62.0,18.81,25,54,1.58,AF,1681249624
212,lewiston,44.1003,-70.2148,16.74,24,0,6.17,US,1681249392
213,pisco,-13.7,-76.2167,27.03,65,20,5.14,PE,1681249466
214,nikolskoye,59.7035,30.7861,5.71,85,100,1.64,RU,1681249625
215,rorvik,64.8621,11.2373,8.06,53,40,5.14,NO,1681249625
216,nong chik,6.8436,101.178,24.64,92,86,2.55,TH,1681249625
217,durban,-29.8579,31.0292,19.51,57,99,2.76,ZA,1681249591
218,upernavik,72.7868,-56.1549,-12.16,91,18,3.42,GL,1681249456
219,mikuni,36.2171,136.1519,17.95,75,100,7.19,JP,1681249626
220,ponta do sol,32.6667,-17.1,17.29,74,0,1.86,PT,1681249626
221,chuy,-33.6971,-53.4616,22.34,57,36,1.88,UY,1681249627
222,quatre cocos,-20.2078,57.7625,25.61,83,65,4.79,MU,1681249627
223,vangaindrano,-23.35,47.6,21.96,95,7,1.74,MG,1681249627
224,juba,4.8517,31.5825,27.44,45,100,0.42,SS,1681249627
225,dumai,1.6833,101.45,23.55,92,95,0.34,ID,1681249628
226,egvekinot,66.3167,-179.1667,-19.26,76,7,2.17,RU,1681249628
227,nyurba,63.2842,118.3319,-19.23,99,63,1.99,RU,1681249628
228,hofn,64.2539,-15.2082,5.28,75,96,3.6,IS,1681249628
229,olinda,-8.0089,-34.8553,26.85,74,20,3.09,BR,1681249628
230,provideniya,64.3833,-173.3,-18.94,65,0,8.05,RU,1681249629
231,katsuura,35.1333,140.3,17.01,81,100,12.51,JP,1681249629
232,quang ngai,15.1167,108.8,23.1,93,82,1.19,VN,1681249629
233,general roca,-39.0333,-67.5833,20.35,42,26,8.45,AR,1681249629
234,bathsheba,13.2167,-59.5167,25.55,73,12,5.58,BB,1681249629
235,banjarmasin,-3.3244,114.591,25.08,98,53,0.58,ID,1681249583
236,puerto carreno,6.189,-67.4859,27.99,83,20,3.09,CO,1681249630
237,isangel,-19.55,169.2667,26.06,94,75,2.57,VU,1681249630
